year,state,houserep_votes_percent
2020,IOWA,47.00475861894605
2020,NEW YORK,63.66752688439111
2020,IDAHO,31.279194453421077
2020,MONTANA,43.6136450161178
2020,NORTH CAROLINA,50.275885409905115
2020,CALIFORNIA,66.27383922930247
2020,OKLAHOMA,31.300027764874933
2020,PENNSYLVANIA,49.36657979938067
2020,MISSOURI,40.47263974487218
2020,DELAWARE,58.89437265317912
2020,WEST VIRGINIA,32.437257856644564
2020,OHIO,42.975695723309094
2020,TENNESSEE,39.613736889026484
2020,INDIANA,40.730919817864866
2020,ALABAMA,30.06729977612836
2020,ARKANSAS,28.520795235559667
2020,KENTUCKY,35.03024460043736
2020,MASSACHUSETTS,78.02986990495654
2020,WISCONSIN,48.53274557243182
2020,ILLINOIS,58.12968088232033
2020,OREGON,57.07227618360437
