year,state,y_votes_percent,real_gdp,houserep_votes_percent
2016,NEW HAMPSHIRE,50.197028442380706,73572.2,51.567165094137195
2016,ALASKA,41.61434528893193,54246.6,41.71968418718786
2016,COLORADO,52.68333337268243,318953.4,49.51365553091217
2016,MARYLAND,64.01099550856516,360082.0,62.97223402486561
2016,VIRGINIA,52.8263762771547,459965.8,50.22169188069692
2016,NEW MEXICO,54.65079493432411,89151.4,56.01290163783113
2016,GEORGIA,47.338827400696786,506816.2,39.73688488441875
2016,ARIZONA,48.1108795538633,291275.2,44.99672098638296
2016,MICHIGAN,49.88233178303845,452325.2,49.443117586000035
2016,NORTH DAKOTA,30.190757103480255,52974.6,25.568700553828926
2016,MISSISSIPPI,40.91015267593994,101255.3,39.78894602133534
2016,WASHINGTON,58.786931200064764,458263.8,55.273023064053724
