year,state,y_votes_percent
1988,GEORGIA,39.796383655239644
1988,ARIZONA,39.2565084690075
1988,MICHIGAN,46.02195003994486
1988,NORTH DAKOTA,43.40464427213233
1988,MISSISSIPPI,39.478917044817216
1988,WASHINGTON,50.80771175458582
2020,IOWA,45.816736915362945
2020,NEW YORK,61.71683489301225
2020,SOUTH DAKOTA,36.5652201383185
2020,IDAHO,34.12285707492213
2020,MONTANA,41.6028199079519
2020,NORTH CAROLINA,49.31581746681328
2020,CALIFORNIA,64.90891136066757
2020,OKLAHOMA,33.059960503093485
2020,PENNSYLVANIA,50.58920525934906
2020,MISSOURI,42.164179355598556
2020,DELAWARE,59.62674416498447
2020,WEST VIRGINIA,30.201467686077972
2020,OHIO,45.923302352297284
2020,TENNESSEE,38.172229627933646
