                Quarterly Data

             Nominal    Real
              GDP       GDP    Population
 Quarter      (Y)       (X)      (POP)
           
 1941.1     114.18   1451.54   132.903
 1941.2     124.19   1532.68   133.234
 1941.3     135.59   1613.40   133.568
 1941.4     143.23   1667.40   133.904
 1942.1     155.04   1779.85   134.242
 1942.2     159.69   1799.60   134.624
 1942.3     168.63   1880.54   135.051
 1942.4     180.63   1986.15   135.523
 1943.1     192.55   2093.24   136.038
 1943.2     199.39   2138.84   136.525
 1943.3     206.65   2209.77   136.982
 1943.4     213.78   2272.21   137.411
 1944.1     219.21   2309.98   137.810
 1944.2     221.88   2323.49   138.205
 1944.3     225.74   2361.34   138.594
 1944.4     230.78   2411.62   138.979
 1945.1     237.54   2475.70   139.359
 1945.2     237.39   2448.26   139.738
 1945.3     223.36   2273.59   140.118
 1945.4     213.70   2116.91   140.497
 1946.1     214.81   2100.34   140.864
 1946.2     215.08   2030.14   141.214
 1946.3     235.34   2064.45   141.750
 1946.4     244.77   2038.84   142.742
 1947.1     243.20   2033.10   143.143
 1947.2     246.00   2027.60   143.790
 1947.3     249.60   2023.50   144.449
 1947.4     259.70   2055.10   145.122
 1948.1     265.70   2086.00   145.709
 1948.2     272.60   2120.50   146.289
 1948.3     279.20   2132.60   146.921
 1948.4     280.40   2135.00   147.607
 1949.1     275.00   2105.60   148.254
 1949.2     271.40   2098.40   148.847
 1949.3     272.90   2120.00   149.485
 1949.4     270.60   2102.30   150.167
 1950.1     280.80   2184.90   150.786
 1950.2     290.40   2251.50   151.319
 1950.3     308.20   2338.50   151.973
 1950.4     319.90   2383.30   152.658
 1951.1     336.00   2415.70   153.291
 1951.2     344.10   2457.50   153.902
 1951.3     351.40   2508.20   154.610
 1951.4     356.20   2513.70   155.344
 1952.1     359.80   2540.60   155.976
 1952.2     361.00   2546.00   156.587
 1952.3     367.70   2564.40   157.267
 1952.4     380.80   2648.60   157.986
 1953.1     388.00   2697.90   158.574
 1953.2     391.70   2718.70   159.160
 1953.3     391.20   2703.40   159.889
 1953.4     386.00   2662.50   160.639
 1954.1     385.30   2649.80   161.328
 1954.2     386.10   2652.60   161.983
 1954.3     391.00   2682.60   162.731
 1954.4     399.70   2735.10   163.524
 1955.1     413.10   2813.20   164.204
 1955.2     421.50   2859.00   164.864
 1955.3     430.20   2897.60   165.612
 1955.4     437.10   2915.00   166.419
 1956.1     439.70   2903.70   167.109
 1956.2     446.00   2927.70   167.788
 1956.3     451.20   2925.00   168.573
 1956.4     460.50   2973.20   169.416
 1957.1     469.80   2992.20   170.172
 1957.2     472.00   2985.70   170.869
 1957.3     479.50   3014.90   171.638
 1957.4     474.90   2983.70   172.417
 1958.1     467.50   2906.30   173.064
 1958.2     472.00   2925.40   173.729
 1958.3     485.80   2993.10   174.483
 1958.4     499.60   3063.10   175.288
 1959.1     510.30   3121.90   176.045
 1959.2     522.70   3192.40   176.727
 1959.3     525.00   3194.70   177.481
 1959.4     528.60   3203.80   178.268
 1960.1     542.60   3275.80   179.319
 1960.2     541.10   3258.10   180.401
 1960.3     545.60   3274.00   181.301
 1960.4     540.20   3232.00   182.019
 1961.1     545.00   3253.80   182.634
 1961.2     555.50   3309.10   183.337
 1961.3     567.70   3372.60   184.103
 1961.4     580.60   3438.70   184.894
 1962.1     594.00   3500.10   185.553
 1962.2     600.40   3531.70   186.203
 1962.3     609.00   3575.10   186.926
 1962.4     612.30   3586.80   187.680
 1963.1     621.70   3626.00   188.299
 1963.2     629.80   3666.70   188.906
 1963.3     644.40   3747.30   189.631
 1963.4     653.90   3771.80   190.362
 1964.1     669.80   3851.40   190.954
 1964.2     678.70   3893.30   191.560
 1964.3     692.00   3954.10   192.256
 1964.4     697.30   3966.30   192.938
 1965.1     717.80   4062.30   193.467
 1965.2     730.20   4113.60   193.994
 1965.3     749.30   4205.10   194.647
 1965.4     771.90   4302.00   195.279
 1966.1     795.70   4406.70   195.763
 1966.2     805.00   4421.70   196.277
 1966.3     819.60   4459.20   196.877
 1966.4     833.30   4495.80   197.481
 1967.1     844.20   4535.60   197.967
 1967.2     849.00   4538.40   198.455
 1967.3     865.20   4581.30   199.012
 1967.4     881.40   4615.90   199.572
 1968.1     909.40   4710.00   199.995
 1968.2     934.30   4788.70   200.452
 1968.3     950.80   4825.80   200.997
 1968.4     968.00   4844.80   201.538
 1969.1     993.30   4920.60   201.955
 1969.2    1009.00   4935.60   202.419
 1969.3    1030.00   4968.20   202.986
 1969.4    1038.10   4943.90   203.584
 1970.1    1051.20   4936.60   204.086
 1970.2    1067.40   4943.60   204.721
 1970.3    1086.10   4989.20   205.419
 1970.4    1088.60   4935.70   206.130
 1971.1    1135.20   5069.70   206.763
 1971.2    1156.30   5097.20   207.362
 1971.3    1177.70   5139.10   208.000
 1971.4    1190.30   5151.20   208.642
 1972.1    1230.60   5246.00   209.142
 1972.2    1266.40   5365.00   209.637
 1972.3    1290.60   5415.70   210.181
 1972.4    1328.90   5506.40   210.737
 1973.1    1377.50   5642.70   211.192
 1973.2    1413.90   5704.10   211.663
 1973.3    1433.80   5674.10   212.191
 1973.4    1476.30   5728.00   212.708
 1974.1    1491.20   5678.70   213.144
 1974.2    1530.10   5692.20   213.602
 1974.3    1560.00   5638.40   214.147
 1974.4    1599.70   5616.50   214.700
 1975.1    1616.10   5548.20   215.135
 1975.2    1651.90   5587.80   215.652
 1975.3    1709.80   5683.40   216.289
 1975.4    1761.80   5760.00   216.848
 1976.1    1820.50   5889.50   217.314
 1976.2    1852.30   5932.70   217.776
 1976.3    1886.60   5965.30   218.338
 1976.4    1934.30   6008.50   218.917
 1977.1    1988.60   6079.50   219.427
 1977.2    2055.90   6197.70   219.956
 1977.3    2118.50   6309.50   220.573
 1977.4    2164.30   6309.70   221.201
 1978.1    2202.80   6329.80   221.719
 1978.2    2331.60   6574.40   222.281
 1978.3    2395.10   6640.50   222.933
 1978.4    2476.90   6729.80   223.583
 1979.1    2526.60   6741.90   224.152
 1979.2    2591.20   6749.10   224.737
 1979.3    2667.60   6799.20   225.418
 1979.4    2723.90   6816.20   226.117
 1980.1    2789.80   6837.60   226.754
 1980.2    2797.40   6696.80   227.389
 1980.3    2856.50   6688.80   228.070
 1980.4    2985.60   6813.50   228.689
 1981.1    3124.20   6947.00   229.155
 1981.2    3162.50   6895.60   229.674
 1981.3    3260.60   6978.10   230.301
 1981.4    3280.80   6902.10   230.903
 1982.1    3274.30   6794.90   231.395
 1982.2    3332.00   6825.90   231.906
 1982.3    3366.30   6799.80   232.498
 1982.4    3402.60   6802.50   233.074
 1983.1    3473.40   6892.10   233.546
 1983.2    3578.80   7049.00   234.028
 1983.3    3689.20   7189.90   234.603
 1983.4    3794.70   7339.90   235.153
 1984.1    3908.10   7483.40   235.605
 1984.2    4009.60   7612.70   236.082
 1984.3    4084.30   7686.10   236.657
 1984.4    4148.60   7749.20   237.232
 1985.1    4230.20   7824.20   237.673
 1985.2    4294.90   7893.10   238.176
 1985.3    4386.80   8013.70   238.789
 1985.4    4444.10   8073.20   239.387
 1986.1    4507.90   8148.60   239.861
 1986.2    4545.30   8185.30   240.368
 1986.3    4607.70   8263.60   240.962
 1986.4    4657.60   8308.00   241.539
 1987.1    4722.20   8369.90   242.009
 1987.2    4806.20   8460.20   242.520
 1987.3    4884.60   8533.60   243.120
 1987.4    5008.00   8680.20   243.721
 1988.1    5073.40   8725.00   244.208
 1988.2    5190.00   8839.60   244.716
 1988.3    5282.80   8891.40   245.354
 1988.4    5399.50   9009.90   245.966
 1989.1    5511.30   9101.50   246.460
 1989.2    5612.50   9171.00   247.017
 1989.3    5695.40   9238.90   247.698
 1989.4    5747.20   9257.10   248.374
 1990.1    5872.70   9358.30   248.936
 1990.2    5960.00   9392.30   249.711
 1990.3    6015.10   9398.50   250.595
 1990.4    6004.70   9312.90   251.482
 1991.1    6035.20   9269.40   252.258
 1991.2    6126.90   9341.60   253.063
 1991.3    6205.90   9388.80   253.965
 1991.4    6264.50   9421.60   254.835
 1992.1    6363.10   9534.30   255.585
 1992.2    6470.80   9637.70   256.439
 1992.3    6566.60   9733.00   257.386
 1992.4    6680.80   9834.50   258.277
 1993.1    6729.50   9851.00   259.039
 1993.2    6808.90   9908.30   259.826
 1993.3    6882.10   9955.60   260.714
 1993.4    7013.70  10091.00   261.547
 1994.1    7115.70  10189.00   262.250
 1994.2    7246.90  10327.00   263.020
 1994.3    7331.10  10387.40   263.870
 1994.4    7455.30  10506.40   264.678
 1995.1    7522.30  10543.60   265.388
 1995.2    7581.00  10575.10   266.142
 1995.3    7683.10  10665.10   267.000
 1995.4    7772.60  10737.50   267.820
 1996.1    7868.50  10817.90   268.487
