year,state,avg_inc
1975,PENNSYLVANIA,0.9940078592014956
1975,RHODE ISLAND,1.0413141171567775
1975,SOUTH CAROLINA,0.7585932154224428
1975,SOUTH DAKOTA,1.0805521482307512
1975,TENNESSEE,0.8574570243361501
1975,TEXAS,1.2499398092709724
1975,UTAH,0.9417032292991179
1975,VERMONT,0.9152528602878407
1975,VIRGINIA,0.8968917568052515
1975,WASHINGTON,1.1999937350470669
1975,WEST VIRGINIA,1.2820547512141234
1975,WISCONSIN,0.9785854728666665
1975,WYOMING,0.9306605366679044
1976,ALABAMA,1.182372136438814
1976,ALASKA,1.1273940573615748
1976,ARIZONA,0.9206340844159611
1976,ARKANSAS,1.1277575476745794
1976,CALIFORNIA,0.9631130533757748
1976,COLORADO,0.8856837644823701
1976,CONNECTICUT,0.856700114659259
