year,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,gdp_mt_2,gdp_mt_1,fair_g_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn,satias,gdp_mt_1_pw2,avg_inc_mt_1_pw2,def_mt_1_pw2,gdp_mt_2_pw2,avg_inc_mt_2_pw2,def_mt_2_pw2,fair_z_1,was_a_vice,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,state,y_hat_fr,y_hat_ds
1996,51.22377,7.9825706,2.567909,5.279099,16.103163,15.31025,7.8995175,1,1,1,1,1,1,1,1,0,0,0,-1,9.4015808,8.5204,5.5999999,0,234.40376,72.597214,27.868887,259.31186,88.389725,6.5941567,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARIZONA,52.908852,50.98811
2000,46.7174,-19.900339,1.1895746,-20.841982,13.863723,97.29586,4.9016633,1,1,1,1,1,1,1,0,1,1,0,-1,9.1631155,11.206698,4,0,9466.4844,125.59009,434.38821,192.2028,83.962685,1.4150877,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ARIZONA,45.165512,45.488228
2004,44.724995,-6.7227654,-3.3516099,-3.2618313,-10.702743,-5.8804593,-4.3797069,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-10.485139,-3.6569653,-4.8000002,0,34.579803,13.373395,10.639544,114.5487,109.93814,11.233289,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ARIZONA,42.30862,43.761349
2008,45.6861,-10.756327,-4.3749895,-6.1138568,-2.41838,-12.222672,.86163956,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-3.0112669,-14.830747,-6.1999998,1,149.39369,219.95105,37.379246,5.8485618,9.067729,19.140533,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ARIZONA,46.28302,49.239761
2012,45.38662,6.8019519,3.64483,3.0460968,4.2768331,-7.3013754,2.0061893,0,0,0,0,0,0,1,1,0,0,0,-1,7.1614275,-5.3149829,8.1999998,-1,53.310081,28.249043,9.2787056,18.291302,51.286045,13.284785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ARIZONA,48.105137,47.345989
2016,48.110878,7.4864597,3.4817972,3.8699198,5.1729035,2.0295093,3.0781698,0,0,0,0,0,0,1,0,1,0,0,-1,6.2992334,5.3457212,5.4000001,-1,4.1189079,28.576736,14.976279,26.75893,39.680344,12.122911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ARIZONA,46.12323,44.719196
2020,50.15683,-8.4663,-4.4954267,-3.8000453,-2.2102954,-7.6709242,1.0323429,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-12.65458,-8.5011568,-7,0,58.843079,72.269669,14.440344,4.885406,160.1384,20.20886,-3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ARIZONA,44.180939,49.101616
1984,38.772411,-25.124853,-8.7069483,-15.102902,-11.29682,-.81068414,-7.8390779,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-16.83289,-18.78373,-8.3999996,-1,.6572088,352.82849,228.09766,127.61813,283.34616,75.810951,-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ARKANSAS,37.253059,36.091656
1988,42.808357,-11.169245,-5.8053341,-5.0696034,-7.4203963,-2.978334,-3.8310158,-1,-1,0,0,-1,0,-1,0,-1,-1,0,1,-11.223095,-11.049986,-7.6999998,-1,8.8704729,122.10219,25.700878,55.062283,125.95786,33.701904,-2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ARKANSAS,43.943085,42.966267
1992,59.992268,-12.675287,-5.1298194,-7.1772857,-10.706757,-3.0997441,-5.9411411,-1,-1,0,0,-1,0,-1,-1,-1.25,0,0,1,-12.419641,-12.2869,-7,-1,9.6084137,150.9679,51.513428,114.63464,154.2475,26.315046,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ARKANSAS,47.6301,48.02726
