year,state,gdp_mt_2,gdp_mt_1
1988,WYOMING,10.534987705462463,-1.6249570844898642
1992,ALABAMA,4.536190380999727,0.8686995310116963
1992,ALASKA,-14.583955233314072,1.2249259319906836
1992,ARIZONA,4.086568889121311,-2.4303886978760625
1992,ARKANSAS,7.984984009825191,2.4902682288866496
1992,CALIFORNIA,-4.822162089943449,1.486225191323709
1992,COLORADO,3.2580994603379487,2.134943310045334
1992,CONNECTICUT,-1.370891528478324,1.1695687545238975
1992,DELAWARE,1.1533735463082007,6.100647737985598
1992,FLORIDA,-0.4143030782025492,0.19718780706916572
1992,GEORGIA,2.285287850903228,0.7153609251316695
1992,HAWAII,0.17411406434837406,9.843296950095027
1992,IDAHO,3.1844788353033504,7.356815226595703
1992,ILLINOIS,1.653435604314013,2.4616040282395835
1992,INDIANA,4.239176908519848,2.7838993466746897
