year,state,avg_inc_mt_2,avg_inc_mt_1
1992,ARKANSAS,12.419641635891132,12.286899093841196
1992,CALIFORNIA,5.552711193856186,9.589390461616931
1992,COLORADO,8.925603183397968,12.526214362636745
1992,CONNECTICUT,8.206410547851783,11.188811188811187
1992,DELAWARE,6.324276459896527,13.379128137384422
1992,FLORIDA,5.373678085310929,12.283392989034713
1992,GEORGIA,8.550602747406778,11.755122501409865
1992,HAWAII,9.40132840012482,18.292554313435993
1992,IDAHO,9.212481426448726,15.652298439066303
1992,ILLINOIS,8.080856123662317,12.61985109004231
1992,INDIANA,9.246960828455641,13.562571903361874
1992,IOWA,8.270932607215787,14.126634727437516
1992,KANSAS,9.095346566872763,11.522409726002536
1992,KENTUCKY,11.490424646128217,13.606927162919312
1992,LOUISIANA,11.041707332942941,15.87876046143406
